region;year;poverty_percent;population;disabled_total;disabled_18_30;disabled_31_40;disabled_41_50;disabled_51_60;disabled_60_plus;newborns;child_deaths_urban;child_deaths_rural;poor_children_share;poor_old_share;poor_working_share;hh_no_crowding;hh_some_crowding;hh_high_crowding;area_total_per_capita;area_living_per_capita;rooms_per_hh;hh_plan_improve;drug_alco_rate;workers_share;cash_income_per_capita;real_incomes_index;formal_wage_paid;real_wage_index;welfare_expense_share;grp_per_capita;industry_total;mining;manufacturing;energy;water_waste;retail_turnover;crime_juveniles;crime_repeat_offenders;crime_prev_convicted;crime_group;crime_group_prep;crime_organized_group;crime_criminal_community;crime_intox_alcohol;crime_intox_narcotic;crime_intox_toxic;poor_abs;production_pc;retail_to_income;birth_rate_per_1000;infant_mortality_per_1000;disabled_per_1000
Мурманская область;2019;10.6;748056.0;28434.0;1503.0;2434.0;3167.0;4431.0;16899.0;6178.0;33.0;1.0;36.9;6.2;56.9;;;;;;;;47.3;84.5;44237.0;100.8;63715.0;104.8;21.2;828365.9;533365963.6;143328936.4;321233236.2;59980538.0;8823253.0;240353.0;346.0;3989.0;2137.0;19.0;328.0;9.0;0.0;1768.0;30.0;12.0;79293.936;713.0027211866492;5.433302439134661;8.258739987380624;5.503399158303658;38.01052327633225
Мурманская область;2020;10.1;741404.0;27994.0;1535.0;2441.0;3307.0;4403.0;16308.0;6481.0;25.0;0.0;43.7;0.4;55.8;83.6;12.7;3.7;23.9;17.7;2.2;18.3;29.7;81.8;46355.0;100.4;69135.0;105.1;22.8;1072337.1;1009107586.0;199187594.0;745236878.3;54903783.96;9779329.72;242844.0;263.0;3770.0;2114.0;12.0;218.0;22.0;2.0;1663.0;14.0;1.0;74881.80399999999;1361.0765331721975;5.238787617301262;8.741522840448662;3.8574294090418144;37.758091404956
Ненецкий автономный округ;2015;9.4;43373.0;;;;;;;762.0;3.0;1.0;;;;;;;;;;;;131.0;72146.0;94.9;71230.0;94.4;13.6;5210143.9;232826114.7;217123363.1;12532100.2;3170651.4;;192201.0;;;;;;;;;;;4077.062;5367.996557766352;2.6640562193330193;17.568533419408386;5.2493438320209975;
Ненецкий автономный округ;2016;10.1;43838.0;;;;;;;808.0;1.0;1.0;;;;;;;;;;;;132.8;71350.0;90.8;71850.0;92.0;15.2;5964557.0;259290100.8;233011811.8;22369724.8;3908564.2;;204097.0;51.0;229.0;135.0;3.0;40.0;1.0;0.0;272.0;1.0;0.0;4427.638;5914.733810849036;2.8605045550105115;18.431497787307816;2.4752475247524752;
Ненецкий автономный округ;2017;10.6;43937.0;2908.0;138.0;209.0;274.0;540.0;1747.0;675.0;4.0;0.0;50.5;1.0;48.4;;;;;;;;;133.0;73013.0;100.9;74173.0;101.6;16.9;6045235.6;293602781.9;267857887.6;21433913.5;3832246.7;478734.1;214927.0;27.0;204.0;133.0;0.0;30.0;0.0;0.0;256.0;4.0;0.0;4657.322;6682.358420010469;2.943681262240971;15.362905979015409;5.925925925925926;66.18567494366935
Ненецкий автономный округ;2018;9.7;43997.0;2922.0;131.0;219.0;289.0;533.0;1750.0;608.0;0.0;1.0;50.5;5.5;44.0;;;;;;;;181.8;132.4;78549.0;105.9;82786.0;110.0;15.5;7296374.4;370577720.5;352133840.4;14916142.3;3062515.6;465222.2;220864.0;51.0;367.0;182.0;4.0;40.0;0.0;0.0;269.0;0.0;0.0;4267.709;8422.795201945588;2.8117990044430865;13.819124031183945;1.644736842105263;66.4136191103939
Ненецкий автономный округ;2019;9.4;43829.0;2939.0;131.0;224.0;304.0;517.0;1763.0;591.0;1.0;0.0;45.6;2.0;52.4;;;;;;;;141.0;130.4;81041.0;99.8;88027.0;102.7;14.3;7530484.7;365514530.0;359496314.3;1553084.9;3991386.3;473744.5;223587.0;39.0;324.0;191.0;3.0;59.0;0.0;0.0;226.0;0.0;0.0;4119.926;8339.558967806703;2.7589368344418257;13.484222774875082;1.6920473773265652;67.05605877387117
Ненецкий автономный округ;2020;9.4;44111.0;2877.0;136.0;208.0;320.0;476.0;1737.0;594.0;2.0;2.0;;;;81.0;18.6;0.4;31.5;20.9;2.7;21.7;176.8;129.3;84147.0;101.1;92237.0;101.4;14.4;5206287.1;262955655.85;255509734.0;1713211.5;5041518.4;691191.95;226206.0;20.0;249.0;126.0;4.0;27.0;0.0;0.0;211.0;1.0;0.0;4146.434;5961.226357371177;2.68822417911512;13.46602888168484;6.7340067340067336;65.22182675523112
Нижегородская область;2015;9.9;3270203.0;;;;;;;34248.0;203.0;72.0;;;;;;;;;;;;89.2;30003.0;95.8;26481.0;90.0;18.1;338304.4;1238792566.72;2303025.5;1138575544.38;97913996.84;;191452.0;;;;;;;;;;;323750.097;378.81213084325344;6.381095223810952;10.472744352567716;8.029665965895818;
Нижегородская область;2016;9.8;3260267.0;;;;;;;35777.0;208.0;44.0;;;;;;;;;;;;90.5;30057.0;94.2;28399.0;101.2;18.2;394208.9;1252127294.26;1332999.49;1146937189.44;103857105.33;;200605.0;1013.0;12071.0;6690.0;111.0;1931.0;89.0;12.0;9107.0;409.0;2.0;319506.166;384.0566721253198;6.674152443690322;10.973641115896337;7.043631383290942;
