region,birth_rate_per_1000,infant_mortality_per_1000,cash_income_per_capita,poverty_percent,poor_children_share,poor_old_share,disabled_per_1000,drug_alco_rate,area_living_per_capita,hh_high_crowding,hh_plan_improve,grp_per_capita,industry_total,retail_to_income,crime_prev_convicted,crime_intox_alcohol,welfare_expense_share,workers_share
Воронежская область,8.244109276075044,3.6532540055320704,32078.0,8.5,28.5,2.3,91.44546199668274,68.9,19.9,1.6,14.2,459629.5,718266745.4,7.868819751854854,4299.0,4006.0,21.6,84.6
Еврейская автономная область,10.138656391143678,6.853582554517134,28048.0,23.6,34.8,10.8,77.36331764631565,79.6,13.8,4.6,20.9,400340.5,27969407.3,5.992084997147747,577.0,509.0,31.2,72.7
Забайкальский край,11.780692648862884,5.12656199935918,27046.0,20.9,33.4,7.2,71.73822780032084,77.0,17.1,5.1,27.9,402594.6,239535677.8,6.091141019004659,4799.0,6297.0,26.5,76.0
Ивановская область,7.584730252172474,3.702234563004099,26277.0,13.7,,,75.63970776274024,74.4,18.1,3.9,13.4,273821.5,219786111.6,6.862046656772082,2235.0,2304.0,25.1,79.3
Иркутская область,9.616120488810395,7.262764199356354,27571.0,17.6,41.5,7.0,85.55227453409239,62.9,16.3,4.1,17.2,631591.9,1217920533.0,5.980160313372747,7818.0,8974.0,28.6,79.5
Кабардино-Балкарская Республика,12.211665802959637,5.375330064126745,21957.0,24.2,35.9,6.7,64.99568146484712,,18.9,3.0,13.0,210674.1,50105229.93,7.035387347998361,1429.0,614.0,34.4,69.9
Калининградская область,9.171249328403022,3.769114796467801,29518.0,13.5,29.1,6.1,65.93699630226604,57.3,15.6,5.9,12.4,530036.9,651831888.63,6.20929602276577,2484.0,1999.0,12.6,80.7
Калужская область,8.96591277460539,3.114918233396373,32442.0,9.7,,,75.301099668354,38.5,15.5,3.3,4.3,558174.6,924089443.9,6.61710128845324,2519.0,2181.0,16.9,88.5
Камчатский край,10.350908579753112,4.320987654320987,55373.0,14.6,42.6,5.9,42.03618984333069,48.6,15.9,5.1,22.0,942802.0,178814259.1,3.654344174958915,1016.0,1103.0,13.3,94.9
Карачаево-Черкесская Республика,10.993968139403002,4.884720593982024,18949.0,23.2,27.6,6.9,110.8504751593889,,18.3,5.8,25.1,207471.5,40569368.5,4.407356588738192,1032.0,703.0,26.5,59.8
Кемеровская область,7.72427680376725,6.283487579152459,25433.0,13.2,39.7,4.5,79.73839044582584,32.4,16.3,3.1,11.3,392374.9,1515806733.41,6.017103762827822,11114.0,10717.0,23.0,78.5
Кировская область,8.411742059977726,3.766833035125718,24192.0,14.0,40.8,3.4,93.07336331849918,63.1,14.9,3.2,16.2,315153.9,306120939.56,6.747023809523809,4461.0,4644.0,27.6,85.5
Костромская область,7.769366183285047,8.534850640113799,25780.0,12.5,39.9,6.6,89.35797342848346,51.2,14.5,3.7,7.8,323951.6,174571606.6,6.966136539953452,1716.0,1885.0,22.5,82.0
Краснодарский край,9.705641584773188,4.175441144433956,36838.0,10.4,39.3,6.9,74.89540058589063,,18.1,3.7,15.1,460720.2,1087351895.83,7.108339214941093,10268.0,6290.0,25.7,82.5
Красноярский край,10.11249871347804,5.278592375366569,32832.0,17.0,35.8,4.8,62.83146475104273,49.1,16.6,3.8,17.7,951613.7,2571171353.16,5.996832358674464,8506.0,8649.0,24.8,83.2
Курганская область,8.981268572450995,6.191950464396285,21860.0,19.3,39.4,2.4,85.67204164581233,57.3,16.7,3.9,26.1,294464.0,149642477.96,6.739798719121684,3181.0,3807.0,26.1,74.7
Курская область,8.252657589437757,4.609812314784326,29786.0,9.9,34.2,6.5,106.41770711806436,57.7,17.1,1.7,16.6,487030.7,378835471.5,6.954072382998724,3045.0,2572.0,23.2,82.4
Ленинградская область,7.072444175295543,3.9194995100625616,33149.0,8.7,,,68.40285477900412,19.8,17.0,4.5,12.2,661328.6,1297335494.8,7.712027512142146,2557.0,2842.0,16.7,70.6
Липецкая область,8.240511650726585,3.7277665353072735,32226.0,8.4,40.0,0.8,98.48153059890062,63.3,16.5,4.0,10.3,546151.3,779282027.8,7.34040836591572,2024.0,2036.0,22.3,89.4
Магаданская область,9.37573582401587,3.0441400304414,70864.0,8.7,,,35.819021184596394,67.1,13.8,4.1,16.4,2035007.0,267775298.77,3.4688558365319486,512.0,592.0,11.1,105.6
Московская область,8.452627487968515,3.784149643120847,47046.0,6.8,49.9,5.7,52.834252801018565,28.3,14.8,4.4,11.0,683845.1,3523377685.76,7.387790672958381,14852.0,9491.0,19.4,75.2
Мурманская область,8.741522840448662,3.8574294090418144,46355.0,10.1,43.7,0.4,37.758091404956,29.7,17.7,3.7,18.3,1072337.1,1009107586.0,5.238787617301262,2114.0,1663.0,22.8,81.8
Ненецкий автономный округ,13.46602888168484,6.7340067340067336,84147.0,9.4,,,65.22182675523112,176.8,20.9,0.4,21.7,5206287.1,262955655.85,2.68822417911512,126.0,211.0,14.4,129.3
Нижегородская область,7.297968807466626,5.475935828877006,33645.0,9.4,31.7,3.8,85.9886491998304,36.8,17.5,2.7,8.8,497418.6,1500778959.84,7.044375092881557,7412.0,6824.0,22.2,91.5
Новгородская область,7.391350996130814,4.536176003628941,26268.0,13.6,40.1,1.3,92.02055965720491,51.5,17.6,1.2,12.7,471333.3,232368357.2,7.786927059540125,2040.0,1910.0,25.3,82.2
Новосибирская область,7.295482404571559,8.03370236112472,31563.0,13.8,34.1,4.4,64.96924775835636,42.1,16.3,4.5,12.0,485981.4,708010570.77,6.242372398061021,7612.0,5122.0,25.4,81.4
Омская область,9.23876231726844,5.898876404494382,27354.0,13.6,38.8,5.1,63.70697552506534,25.3,16.9,2.6,15.1,398641.0,934355649.51,6.7912919499890325,5587.0,4508.0,29.0,83.5
Оренбургская область,9.59713005950936,3.674121405750799,24719.0,14.0,42.8,3.3,92.5361617101084,59.7,19.0,3.3,13.4,538971.9,880762104.59,6.853675310489907,6455.0,5587.0,26.6,78.6
Орловская область,7.168390370525891,6.276150627615063,26843.0,12.9,41.5,8.0,79.92250830949777,75.4,18.8,6.3,14.6,390170.2,149952405.0,7.263606899377864,1293.0,1163.0,25.0,74.1
Пензенская область,7.4014046047567215,4.4499637793645865,24118.0,13.0,32.7,12.8,71.84256906790404,89.1,16.9,3.9,8.3,379820.4,293334013.3,7.101210713989551,2826.0,3184.0,22.4,78.6
Пермский край,8.193101113393812,5.587903831705485,30215.0,13.3,41.5,3.7,74.37847695113224,62.0,16.0,3.1,15.1,541930.2,1499640081.38,7.087936455402946,8444.0,7991.0,23.0,78.1
Приморский край,9.52597965681155,5.260243632336656,37304.0,13.0,49.6,4.2,55.98385541609437,54.5,15.7,3.1,12.7,582950.7,343330852.69,6.175691614840232,5564.0,4875.0,23.5,84.9
Псковская область,7.977767662490117,4.004004004004004,26436.0,16.2,29.6,9.3,74.15251191873698,93.9,15.0,6.0,14.9,325659.6,142724001.7,7.600090785292783,1823.0,1762.0,24.7,81.9
Республика Адыгея,9.540303354869916,3.1688546853779997,30293.0,12.5,44.6,5.4,69.88736482050928,,19.6,5.4,22.1,309184.1,61013144.5,7.64027993265771,679.0,605.0,20.2,58.4
Республика Алтай,13.420776542935132,7.4450084602368864,21677.0,23.8,44.5,2.9,93.98176954414778,37.7,14.4,4.2,33.4,283451.4,8711664.3,6.243991327213175,1123.0,1529.0,19.8,68.2
Республика Башкортостан,7.706992631033361,7.647323436797121,30249.0,11.6,40.1,4.5,59.83976329760824,41.1,17.4,4.5,16.8,425161.0,1544334054.11,7.494165096366822,10120.0,11372.0,22.4,70.8
