region,cluster,birth_rate_per_1000,infant_mortality_per_1000,cash_income_per_capita,poverty_percent,poor_children_share,poor_old_share,disabled_per_1000,drug_alco_rate,area_living_per_capita,hh_high_crowding,hh_plan_improve,grp_per_capita,industry_total,retail_to_income,crime_prev_convicted,crime_intox_alcohol,welfare_expense_share,workers_share
Липецкая область,2,2.223597257575798,1.5534528997194776,10.380559889496727,2.2407096892759584,40.0,0.8,98.48153059890062,4.163559631243574,2.8622008809294686,1.6094379124341003,2.424802725718295,13.210653153560084,20.47388357785239,7.34040836591572,7.613324979540639,7.619233416226805,22.3,89.4
Магаданская область,1,2.3394699863985697,1.397268927275203,11.168531937601006,2.272125885509337,39.4,4.6,35.819021184596394,4.220977213155467,2.6946271807700692,1.62924053973028,2.856470206220483,14.526010308055037,19.405658753098983,3.4688558365319486,6.240275845170769,6.385194398997726,11.1,105.6
Московская область,2,2.24629274391427,1.5653082960756892,10.75890238102528,2.0541237336955462,49.9,5.7,52.834252801018565,3.3775875160230218,2.760009940032921,1.6863989535702288,2.4849066497880004,13.43548817128839,21.982685936565602,7.387790672958381,9.605957144029533,9.158204617555654,19.4,75.2
Мурманская область,2,2.276397454555233,1.580509369799851,10.744106012454282,2.4069451083182885,43.7,0.4,37.758091404956,3.4242626545931514,2.928523523860541,1.547562508716013,2.9601050959108397,13.885351962678394,20.732332199987408,5.238787617301262,7.656810091480378,7.416979621381154,22.8,81.8
Ненецкий автономный округ,1,2.6718030649469293,2.0456270638863985,11.34033243225392,2.341805806147327,39.4,4.6,65.22182675523112,5.180659323079804,3.086486636822455,0.33647223662121295,3.122364924487357,15.465377702997763,19.387495970793516,2.68822417911512,4.844187086458591,5.356586274672012,14.4,129.3
Нижегородская область,2,2.1160107628612663,1.8680931266985057,10.423649457279106,2.341805806147327,31.7,3.8,85.9886491998304,3.632309102625542,2.917770732084279,1.308332819650179,2.2823823856765264,13.117189214480597,21.12925011748791,7.044375092881557,8.910990494656719,8.82834762005316,22.2,91.5
Новгородская область,2,2.1272015320846815,1.7113040103730268,10.176144815719798,2.681021528714291,40.1,1.3,92.02055965720491,3.960813169597578,2.9231615807191558,0.7884573603642702,2.617395832834079,13.06332288768782,19.263834421348882,7.786927059540125,7.621195162809845,7.555381944240273,25.3,82.2
Новосибирская область,2,2.115711078017902,2.2009622901681585,10.359772509640926,2.6946271807700692,34.1,4.4,64.96924775835636,3.763522997109702,2.8507065015037334,1.7047480922384253,2.5649493574615367,13.09392768823512,20.377969583425045,6.242372398061021,8.937612591306213,8.541495483939203,25.4,81.4
Омская область,2,2.3261807448520484,1.9313585584150026,10.216654606497926,2.681021528714291,38.8,5.1,63.70697552506534,3.269568939183719,2.884800712846709,1.2809338454620642,2.7788192719904172,12.895819050000698,20.655367705844622,6.7912919499890325,8.628376720376853,8.413830678421084,29.0,83.5
Оренбургская область,2,2.3605832153559754,1.5420412104799712,10.115367911571628,2.70805020110221,42.8,3.3,92.5361617101084,4.1059436980654525,2.995732273553991,1.4586150226995167,2.667228206581955,13.197420570334003,20.59629811972926,6.853675310489907,8.772765209949785,8.628376720376853,26.6,78.6
Орловская область,2,2.1002718723900045,1.9846019624227724,10.19779761127813,2.631888840136646,41.5,8.0,79.92250830949777,4.335982696172475,2.9856819377004897,1.9878743481543455,2.747270914255491,12.874340896143748,18.825828508379015,7.263606899377864,7.165493475060845,7.059617628291383,25.0,74.1
Пензенская область,2,2.1283989067224134,1.6956089626649187,10.09075519061184,2.6390573296152584,32.7,12.8,71.84256906790404,4.500920164614292,2.884800712846709,1.589235205116581,2.2300144001592104,12.847456421217949,19.496822498242995,7.101210713989551,7.946971357693591,8.066207568006265,22.4,78.6
Пермский край,2,2.2184533237761834,1.8852352147142357,10.316126864392293,2.6602595372658615,41.5,3.7,74.37847695113224,4.143134726391533,2.833213344056216,1.410986973710262,2.7788192719904172,13.202894335095193,21.12849097118315,7.087936455402946,9.041329829241901,8.98619632032839,23.0,78.1
Приморский край,2,2.353846454268837,1.8342191032583055,10.526882644905614,2.6390573296152584,49.6,4.2,55.98385541609437,4.0163830207523885,2.8154087194227095,1.410986973710262,2.617395832834079,13.275859614559261,19.65420512823163,6.175691614840232,8.624252263709645,8.492080490601163,23.5,84.9
Псковская область,2,2.194751261487362,1.610238392765017,10.18251982308024,2.8449093838194073,29.6,9.3,74.15251191873698,4.552823705615882,2.772588722239781,1.9459101490553132,2.766319109226186,12.693611013728846,18.776423272226687,7.600090785292783,7.508787170634276,7.47477218239787,24.7,81.9
Республика Адыгея,0,2.355206323995999,1.4276413423012502,10.318704952086971,2.6026896854443837,44.6,5.4,69.88736482050928,4.0163830207523885,3.0252910757955354,1.8562979903656263,3.139832617527748,12.641695405659767,17.926599898920795,7.64027993265771,6.522092798170152,6.406879986069314,20.2,58.4
Республика Алтай,0,2.6686699822053996,2.133575552063511,9.984053200375696,3.2108436531709366,44.5,2.9,93.98176954414778,3.655839600035736,2.7343675094195836,1.6486586255873816,3.5380565643793527,12.554799486818386,15.980173524583288,6.243991327213175,7.024649030453636,7.333023014386481,19.8,68.2
Республика Башкортостан,2,2.1641264535194136,2.1572498437886636,10.317251463458987,2.533696813957432,40.1,4.5,59.83976329760824,3.7400477406883357,2.91235066461494,1.7047480922384253,2.8791984572980396,12.960225551747847,21.157858622083737,7.494165096366822,9.222367752188902,9.338997404184445,22.4,70.8
Республика Бурятия,2,2.624669062546162,1.8667914728645925,10.169422358105223,3.039749158970765,41.7,3.7,74.93886526218206,3.6375861597263857,2.9014215940827497,1.791759469228055,3.3105430133940246,12.636424818866285,18.987942115611492,7.655488272267362,8.105005537547246,8.500657222776137,25.5,64.4
Республика Дагестан,0,2.76943208263089,2.0562144664997404,10.227814909184653,2.760009940032921,38.3,5.0,98.84893492406276,4.0163830207523885,3.1570004211501135,1.33500106673234,2.833213344056216,12.386900170146994,18.029002688148662,6.808322186471928,7.6511201757027,6.630683385642372,28.3,54.0
Республика Ингушетия,0,2.8730164435399517,1.8800124110767162,9.733766277717912,3.4339872044851463,38.1,10.6,116.45344445737298,4.0163830207523885,3.3603753871419,0.0,1.7227665977411035,11.864994718983324,15.268880780948418,3.004858683415299,5.327876168789581,4.5217885770490405,32.5,56.8
Республика Калмыкия,0,2.418026661204024,1.3573810936216957,9.89404309370813,3.1654750481410856,33.8,0.3,77.53702030353882,4.0163830207523885,3.054001181677967,1.308332819650179,2.186051276738094,12.75110866327515,15.705523960807756,4.341123618191913,6.35088571671474,6.513230110912307,24.3,69.0
Республика Карелия,2,2.247763920203562,1.6908202169208255,10.391576649328249,2.7788192719904172,39.0,3.0,95.932997212017,4.553876891600541,2.89591193827178,1.9600947840472698,3.269568939183719,13.165894594664179,19.318408259034126,6.953595433201363,7.744136627627991,7.80016307039296,24.2,80.2
Республика Коми,2,2.325686012479796,1.2166690558737632,10.50993239925678,2.791165107812717,40.1,6.6,73.62460434407959,4.3489867805956814,2.803360380906535,1.840549633397487,3.3603753871419,13.526788344753598,20.116693770215495,5.498677645390845,8.305484017727691,8.33110454805304,22.7,84.3
Республика Крым,2,2.3855458423169584,1.8572316756093827,10.041116787524166,2.9014215940827497,48.2,1.7,64.54281086382986,4.0163830207523885,2.995732273553991,1.7749523509116738,2.3978952727983707,12.507527437162326,18.959183235065726,6.451895424836601,8.227909837597483,7.903226808730733,15.5,81.1
Республика Марий Эл,0,2.232675837880094,1.8688601971168681,9.964817807687734,3.0204248861443626,32.8,5.8,88.92035377389733,4.212127597878484,2.8622008809294686,1.916922612182061,3.0301337002713233,12.580405811327227,18.90593300812969,6.334273890142964,7.002155954403621,7.365812837209472,22.4,71.9
Республика Мордовия,2,1.9178261854127903,1.548693405489272,9.934598547561182,2.9231615807191558,39.4,4.6,84.04486476157211,3.8480176754522337,3.044522437723423,1.5686159179138452,1.9600947840472698,12.744938054337357,19.346522848294494,6.17163491832679,7.532088143541722,7.544861068658458,22.5,81.5
Республика Саха (Якутия),1,2.5083811113273744,1.9612381993643806,10.743739218124693,2.9069010598473755,44.2,5.1,54.13705406195087,4.677490847567717,2.8622008809294686,1.4350845252893227,3.288401887516811,13.970934854968172,20.658408170359348,5.409793258232984,7.688913336864796,8.317033476492403,16.8,85.1
Республика Северная Осетия-Алания,0,2.54205467935059,1.6185175676936943,10.082804600309784,2.7013612129514133,34.8,6.8,81.53987230873217,4.0163830207523885,2.856470206220483,2.617395832834079,2.501435951739211,12.49805321618702,17.391533163438776,6.831947172650144,7.605392364814935,6.07993319509559,25.0,63.8
